Worker 0 | start idle | idle | 1719877814.0727355
Worker 0 | finish idle | idle | 1719877817.438434
Worker 0 | start step | _sub_do_work | 1719877817.438445
Worker 0 | finish step | _sub_do_work | 1719877817.4565558
Worker 0 | start step | instantiate | 1719877817.4565885
Worker 0 | finish step | instantiate | 1719877817.4626431
Worker 0 | start step | instantiate | 1719877817.462959
Worker 0 | finish step | instantiate | 1719877817.4654574
Worker 0 | start step | instantiate | 1719877817.4656734
Worker 0 | finish step | instantiate | 1719877817.4702516
Worker 0 | start step | _sub_do_work | 1719877817.4704816
Worker 0 | finish step | _sub_do_work | 1719877817.476651
Worker 0 | start idle | idle | 1719877817.4767141
Worker 0 | finish idle | idle | 1719877817.481266
Worker 0 | start step | instantiate | 1719877817.4812717
Worker 0 | finish step | instantiate | 1719877817.4888906
Worker 0 | start step | instantiate | 1719877817.489357
Worker 0 | finish step | instantiate | 1719877817.5142784
Worker 0 | start step | instantiate | 1719877817.51467
Worker 0 | finish step | instantiate | 1719877817.5189607
Worker 0 | start idle | idle | 1719877817.5192032
Worker 0 | finish idle | idle | 1719877817.5638828
Worker 0 | start step | _sub_do_work | 1719877817.5638905
Worker 0 | finish step | _sub_do_work | 1719877817.5766923
Worker 0 | start step | instantiate | 1719877817.5767355
Worker 0 | finish step | instantiate | 1719877817.5970547
Worker 0 | start step | instantiate | 1719877817.5977087
Worker 0 | finish step | instantiate | 1719877817.6068246
Worker 0 | start step | _sub_do_work | 1719877817.6071882
Worker 0 | finish step | _sub_do_work | 1719877817.617242
Worker 0 | start idle | idle | 1719877817.6172953
Worker 0 | finish idle | idle | 1719877817.639803
Worker 0 | start step | instantiate | 1719877817.6398094
Worker 0 | finish step | instantiate | 1719877817.649365
Worker 0 | start step | instantiate | 1719877817.649986
Worker 0 | finish step | instantiate | 1719877817.6803353
Worker 0 | start step | _sub_do_work | 1719877817.6807082
Worker 0 | finish step | _sub_do_work | 1719877817.6942272
Worker 0 | start step | instantiate | 1719877817.6942623
Worker 0 | finish step | instantiate | 1719877817.803489
Worker 0 | start step | _sub_do_work | 1719877817.8039002
Worker 0 | finish step | _sub_do_work | 1719877817.81167
Worker 0 | start step | instantiate | 1719877817.811688
Worker 0 | finish step | instantiate | 1719877817.818475
Worker 0 | start step | instantiate | 1719877817.8187175
Worker 0 | finish step | instantiate | 1719877817.8266456
Worker 0 | start idle | idle | 1719877817.8267589
Worker 0 | finish idle | idle | 1719877817.8863122
Worker 0 | start step | instantiate | 1719877817.8863165
Worker 0 | finish step | instantiate | 1719877818.0835912
Worker 0 | start step | _sub_do_work | 1719877818.08414
Worker 0 | finish step | _sub_do_work | 1719877818.0921452
Worker 0 | start step | instantiate | 1719877818.0921865
Worker 0 | finish step | instantiate | 1719877818.1065948
Worker 0 | start step | _sub_do_work | 1719877818.1069527
Worker 0 | finish step | _sub_do_work | 1719877818.1135328
Worker 0 | start idle | idle | 1719877818.1135738
Worker 0 | finish idle | idle | 1719877818.1200883
Worker 0 | start step | instantiate | 1719877818.1200912
Worker 0 | finish step | instantiate | 1719877818.124931
Worker 0 | start step | instantiate | 1719877818.1252863
Worker 0 | finish step | instantiate | 1719877818.130884
Worker 0 | start idle | idle | 1719877818.1312048
Worker 0 | finish idle | idle | 1719877818.1395686
Worker 0 | start step | instantiate | 1719877818.1395712
Worker 0 | finish step | instantiate | 1719877818.1521983
Worker 0 | start idle | idle | 1719877818.152486
Worker 0 | finish idle | idle | 1719877818.1884305
Worker 0 | start step | instantiate | 1719877818.1884356
Worker 0 | finish step | instantiate | 1719877818.2902863
Worker 0 | start idle | idle | 1719877818.2909937
Worker 0 | finish idle | idle | 1719877818.292053
Worker 0 | start step | _sub_do_work | 1719877818.2920558
Worker 0 | finish step | _sub_do_work | 1719877818.3008232
Worker 0 | start idle | idle | 1719877818.3008652
Worker 0 | finish idle | idle | 1719877818.3436382
Worker 0 | start step | instantiate | 1719877818.3436437
Worker 0 | finish step | instantiate | 1719877818.3531082
Worker 0 | start idle | idle | 1719877818.3536425
Worker 0 | finish idle | idle | 1719877818.3554773
Worker 0 | start step | _sub_do_work | 1719877818.3554807
Worker 0 | finish step | _sub_do_work | 1719877818.364649
Worker 0 | start step | instantiate | 1719877818.3646817
Worker 0 | finish step | instantiate | 1719877818.4940279
Worker 0 | start step | instantiate | 1719877818.4941936
Worker 0 | finish step | instantiate | 1719877818.6030688
Worker 0 | start step | instantiate | 1719877818.6036162
Worker 0 | finish step | instantiate | 1719877818.6167462
Worker 0 | start step | _sub_do_work | 1719877818.617046
Worker 0 | finish step | _sub_do_work | 1719877818.6256618
Worker 0 | start step | _sub_do_work | 1719877818.625686
Worker 0 | finish step | _sub_do_work | 1719877818.635857
Worker 0 | start step | instantiate | 1719877818.635888
Worker 0 | finish step | instantiate | 1719877818.775447
Worker 0 | start step | instantiate | 1719877818.7756598
Worker 0 | finish step | instantiate | 1719877818.7840044
Worker 0 | start step | _sub_do_work | 1719877818.7845564
Worker 0 | finish step | _sub_do_work | 1719877818.7958605
Worker 0 | start step | instantiate | 1719877818.7959266
Worker 0 | finish step | instantiate | 1719877818.8034992
Worker 0 | start step | _sub_do_work | 1719877818.8038306
Worker 0 | finish step | _sub_do_work | 1719877818.8104718
Worker 0 | start idle | idle | 1719877818.8105114
Worker 0 | finish idle | idle | 1719877818.837784
Worker 0 | start step | instantiate | 1719877818.8377903
Worker 0 | finish step | instantiate | 1719877818.857314
Worker 0 | start idle | idle | 1719877818.8580806
Worker 0 | finish idle | idle | 1719877818.9409564
Worker 0 | start step | instantiate | 1719877818.9409661
Worker 0 | finish step | instantiate | 1719877818.9522338
Worker 0 | start idle | idle | 1719877818.9544852
Worker 0 | finish idle | idle | 1719877818.9545197
Worker 0 | start step | _sub_do_work | 1719877818.9545226
Worker 0 | finish step | _sub_do_work | 1719877818.963374
Worker 0 | start idle | idle | 1719877818.9634254
Worker 0 | finish idle | idle | 1719877818.974963
Worker 0 | start step | instantiate | 1719877818.9749677
Worker 0 | finish step | instantiate | 1719877818.9875717
Worker 0 | start idle | idle | 1719877818.9881225
Worker 0 | finish idle | idle | 1719877818.9937894
Worker 0 | start step | _sub_do_work | 1719877818.9937932
Worker 0 | finish step | _sub_do_work | 1719877819.005242
Worker 0 | start idle | idle | 1719877819.005291
Worker 0 | finish idle | idle | 1719877819.0134406
Worker 0 | start step | instantiate | 1719877819.013446
Worker 0 | finish step | instantiate | 1719877819.0292275
Worker 0 | start idle | idle | 1719877819.0309331
Worker 0 | finish idle | idle | 1719877819.0309916
Worker 0 | start step | _sub_do_work | 1719877819.0309956
Worker 0 | finish step | _sub_do_work | 1719877819.0457973
Worker 0 | start idle | idle | 1719877819.047525
Worker 0 | finish idle | idle | 1719877819.051594
Worker 0 | start step | instantiate | 1719877819.0516007
Worker 0 | finish step | instantiate | 1719877819.2333386
Worker 0 | start step | _sub_do_work | 1719877819.2337127
Worker 0 | finish step | _sub_do_work | 1719877819.2371285
Worker 0 | start idle | idle | 1719877819.2379408
Worker 0 | finish idle | idle | 1719877819.2847636
Worker 0 | start step | instantiate | 1719877819.284782
Worker 0 | finish step | instantiate | 1719877819.2980633
Worker 0 | start step | _sub_do_work | 1719877819.29918
Worker 0 | finish step | _sub_do_work | 1719877819.3067834
Worker 0 | start idle | idle | 1719877819.3068407
Worker 0 | finish idle | idle | 1719877819.3134062
Worker 0 | start step | instantiate | 1719877819.3134103
Worker 0 | finish step | instantiate | 1719877819.3331869
Worker 0 | start idle | idle | 1719877819.3333752
Worker 0 | finish idle | idle | 1719877819.4597013
Worker 0 | start step | instantiate | 1719877819.4597077
Worker 0 | finish step | instantiate | 1719877819.4871426
Worker 0 | start idle | idle | 1719877819.4882314
Worker 0 | finish idle | idle | 1719877819.5085676
Worker 0 | start step | _sub_do_work | 1719877819.5085716
Worker 0 | finish step | _sub_do_work | 1719877819.5186472
Worker 0 | start idle | idle | 1719877819.518702
Worker 0 | finish idle | idle | 1719877819.6255376
Worker 0 | start step | instantiate | 1719877819.6255448
Worker 0 | finish step | instantiate | 1719877819.749091
Worker 0 | start step | _sub_do_work | 1719877819.7497137
